CKG_NM,CKG_MTRL_CN
닭가슴살동그랑땡,[재료] 닭가슴살 300g| 달걀 2개| 밀가루| 포일| 올리브유 적당량 | 두부 1모(소)| 부추 50g| 홍고추 1개| 청고추 1개| 양파 1/2개 [양념1] 청주 1큰술| 다진마늘 2큰술| 참기름 1/2큰술| 후춧가루 약간 | [양념 2]| 간장 1큰술| 설탕 1/2작은술| 달걀노른자 1개| 소금 1작은술
닭가슴살또띠아,[재료] 닭가슴살 캔 1개| 파프리카(삼색) 조금| 할라피뇨피클 | 양상추| 상추| 또띠아| 슬라이스치즈 [양념] 허니머스터드
닭가슴살버섯볶음,[재료] 닭가슴살 1팩| 느타리버섯 100g| 새송이버섯 3개| 표고버섯 5~6개| 당근 1/2개| 청양고추 2개 [양념] 간장 2스푼| 소금 1/2스푼| 양파 기름 2스푼| 통깨 1스푼| 참기름 약간
닭가슴살볶음밥,[재료] 닭가슴살캔 1개| 양파 1/4개| 청피망 1/2개| 홍피망 1/2개| 완두콘캔 30g| 옥수수캔 30g| 밥 2공기 [양념] 매콤한맛굴소스 2TS| 소금 약간 | 오일 조금
닭가슴살삶는법,[재료] 닭가슴살 300그램| 대파 1대| 양파 1/2개| 통마늘 5알| 청주 1/3컵| 월계수잎 3장
닭가슴살샐러드,[재료] 닭가슴살 2쪽| 빨강파프리카 1/2개| 노랑파프리카 1/2개| 주황파프리카 1/2개 [닭가슴살 밑간] 청주 1TS| 소금| 후춧가루 [상큼소스] 올리브유 4TS| 마늘(다지기) 2알| 레몬즙 2TS| 사과 식초 1TS| 꿀 1TS| 바질가루 1TS
닭가슴살숙주볶음,[재료] 닭가슴살 100g| 숙주 1/2봉지| 팽이버섯 1개| 청양고추 1개 [양념] 간장 2T| 식용유 0.5T
닭가슴살스테이크,[재료] 닭가슴살 300g| 청피망 1/2개| 빨강파프리카 1/2개| 노랑파프리카 1/2개| 옥수수캔 30g| 마늘 3알| 부침가루 3TS| 계란 30g| 빵가루 4TS [파프리카치즈구이 재료] 파프리카| 옥수수| 치즈| 소금| 버터 [고기밑간] 청주 1TS| 소금 1/2ts| 후춧가루 조금 [소스] 버터 1TS| 채썬 양파 1/2개| 케찹 3TS| 우스터소스 3TS| 육수 3TS
닭가슴살스파게티,[재료] 닭가슴살 1/2쪽| 표고버섯 3개| 마늘 5쪽| 스파게티 120g| 스파게티 삶은물 1/2 컵| 생크림 1/2컵| 파르메산 조금 [양념] 소금 조금| 후춧가루 조금| 청주 1큰술| 올리브오일 4큰술| 토마토소스 1+1/2컵
닭가슴살장조림,[닭육수 재료] 닭가슴살(250g) 2쪽| 물(500ml) 2.5컵| 마늘 5쪽| 대파 1대| 양파(소) 1/2개| 월계수잎(옵션) 2장 [장조림 재료] 삶은 닭가슴살 2쪽| 닭육수| 꽈리고추 1줌| 마늘 5쪽| 건고추 1개| 통깨 약간 [조림장 양념] 진간장 4T| 맛술 2T| 물엿 1T| 흑설탕 1T| 후추 약간
닭간장조림,[재료] 토막낸 닭 480g| 우유 조금 [양념] 진간장 5큰술| 핫소스 2큰술| 마늘 5알(다지기)| 청주 1큰술| 생강즙 1/2작은술| 참기름 1작은술| 황설탕 1큰술| 후춧가루 조금| 다시마물 200ml
닭갈비,[재료] 닭가슴살 3쪽| 양배추 3줌| 고구마 큰 것 1개| 떡국떡 1줌| 양파 1/2개| 대파 1/2대| 깻잎 2묶음| 당근 1/4개 [양념] 고추장 3큰술| 고춧가루 3큰술| 카레가루 1큰술| 간장 2큰술| 맛술 3큰술| 다진 마늘 1큰술| 매실엑기스 3큰술| 물엿 1큰술| 생강즙이나 가루 0.3큰술| 후춧가루 약간
닭강정,[재료] 닭가슴살 3쪽| 우유 1컵| 달걀 노른자 1개| 땅콩가루 약간 [양념] 포도씨유 2큰술| 전분가루 6큰술| 다진마늘 1큰술| 소금 약간| 후춧가루 약간 [소스] 고추장 1.5큰술| 케첩 3큰술| 꿀 4큰술| 간장 0.3큰술| 식초 1큰술| 물 1/2컵
닭개장,[재료] 닭| 단배추| 토란대| 고사리| 숙주나물 [양념] 고춧가루| 국간장| 소금 약간| 후춧가루 약간
닭고기계란덮밥,[재료] 닭안심살 2개| 양송이버섯 1개| 양파 1/6개| 당근 1토막| 시금치 약간| 계란 1개| 참기름 약간| 통깨 약간| 닭육수 4큰술| 물녹말 1작은술| 밥 1공기
닭고기냉채,[재료] 닭가슴살 200g| 배 1/3개 | 당근 1/3개| 오이 1개| 달걀 1개| 소금 조금 | 설탕 조금| 양파 1개| 청주 1큰술| 실파 조금| 실고추 조금 [양념] 배즙 1/4컵| 갠 겨자 1큰술| 잣가루 3큰술 | 설탕 3큰술| 식초 2큰술| 다진 풋고추 1큰술| 다진 붉은 고추 1큰술| 소금 조금| 후춧가루 조금 | 참기름 조금
닭고기덮밥,[재료] 닭다리 살 발라낸 것 2장| 양파 중 1/2개| 계란 2개| 실파나 대파 적당량| 고춧가루 약간| 밥 2공기 [양념] 물 1컵| 참치액 4스푼| 맛술 3스푼| 설탕 0.5스푼| 후춧가루 적당량
닭고기스테이크,[재료] 닭다리살 발라낸 것 4장| 감자전분가루 2큰술 [닭밑간재료] 청주 2큰술| 다진 마늘 0.5큰술| 소금 적당량| 후춧가루 적당량 [소스재료 첫번째] 레드와인 6큰술| 케첩 2큰술| 꿀 0.5큰술| 버터 0.5큰술| 소금 약간| 후춧가루 약간 [소스재료 두번째] 돈가스소스 or 스테이크소스 4큰술| 흑설탕 1큰술| 간장 2큰술| 물엿 2큰술| 물 4큰술
닭고기완자,[재료] 닭가슴살 250g| 옥수수통조림 1캔| 파프리카 약간 [닭가슴살 밑간] 술 2큰술| 후춧가루 조금| 카레가루 1/2작은술| 생강가루 조금 [양념] 대파 20cm| 계란 2개| 녹말가루 2큰술| 소금 1작은술| 카레가루 1작은술| 후추 조금
닭구이,[재료] 볶음용 닭 1마리 [양념] 간장 3~4큰술| 설탕 2큰술| 맛술 2큰술| 다진마늘 2작은술
닭국,[재료] 닭다리 5개| 배추| 두부| 호박| 새송이버섯| 표고버섯 [양념] 미소 2TS| 미림 1TS| 혼다시| 소금 약간
닭꼬치,[재료] 닭가슴살 혹은 다리살 500g| 대파 3대 [양념] 진간장 1/2컵| 맛술 1/2컵| 물 1/4컵| 설탕 1/4컵| 물엿 3큰술| 대파 초록부분 1줌| 양파 1/4개| 마늘 4쪽| 생강 1톨| 마른 고추 1개| 통후추 10알
닭꼬치구이,[재료] 닭넙적다리살 300g| 대파 흰부분 2대| 대나무꼬치 10~15개 [닭살양념] 청주 1작은술| 소금 약간| 후추 약간 [데리야끼소스] 간장 6큰술| 다시마물 6큰술| 설탕 3큰술| 청주 3큰술| 맛술 3큰술| 생강 1쪽| 레몬 슬라이스 2쪽
닭날개간장조림,[재료] 닭날개 1팩(18개 485g)| 다진 호두 1큰술 [밑간] 맛술 2큰술| 소금 0.3 작은술| 후춧가루 약간| 우유 1/2컵 [간장소스] 간장 6큰술| 레드와인 5큰술| 올리고당(물엿) 3큰술| 레몬즙 1큰술| 후춧가루 약간| 설탕 1큰술| 물 1/2컵| 건고추 작은 것 3개| 월계수잎 3장| 생강 1톨| 통마늘 2톨
닭날개오븐구이,[재료] 닭날개 350g(13개) [양념] 다진 마늘 1스푼 | 간장 1스푼 | 꿀이나 아가베시럽 1스푼 | 올리브오일이나 포도씨오일 1스푼 | 청주 1스푼 | 생강즙이나 가루 0.3스푼 | 소금 0.3스푼 | 후춧가루 적당량| 파마산 치즈가루 1스푼(생략가능)
닭다리간장구이,[재료] 닭다리 5개| 우유| 맛술| 로즈마리 [양념] 간장 6큰술| 설탕 3큰술| 청주 2큰술| 다진마늘 1큰술| 후추가루 약간
닭다리구이,[재료] 닭다리 6개| 비린내제거용우유(or맛술) 적당량 [양념] 고추장 2큰술| 간장 1큰술| 맛술 2큰술| 물엿 2큰술| 참기름 1큰술| 다진마늘 1큰술| 다진파 3큰술| 다진생강 약간| 후추 약간
닭다리살구이,[재료] 닭다리| 양파| 잔파| 토마토| 파채 [닭다리 양념] 굴소스 1T| 두반장 1T| 고추장 1T| 마늘 1T| 생강즙 1T| 후추| 청주| 물엿 2T| 참기름 [마리네이드 소스] 올리브오일| 식초| 소금
닭다리삼계탕,[재료] 닭다리만으로 500그램| 대파| 소주| 양파| 마늘| 후추 약간 [양념] 소금 약간
닭다리튀김,[재료] 닭다리 6개| 월계수잎 4장| 통후추 0.5큰술| 로즈마리 2줄기| 우유 1컵 [샐러드 재료] 토마토 1개| 오이 1/2개| 사과 1/2개| 양배추 1줌 [튀김옷 재료] 밀가루 3큰술| 달걀 1개| 빵가루 1컵 [밑간 양념] 우유 1큰술| 소금 약간| 후춧가루 약간 [드레싱] 마요네즈 2큰술| 케첩 0.5큰술| 다진피클 0.3큰술| 다진양파 0.5큰술| 레몬즙 0.5큰술| 설탕 0.5큰술| 소금 약간| 후춧가루 약간
닭도리탕,[재료] 닭 1마리| 물 2.5컵| 맥주 1/2캔| 감자 1개| 양파 1개| 당근 1/4개| 양배추 1줌| 대파 1뿌리 [양념] 다진 마늘 1큰술| 고춧가루 4큰술| 고추장 2.5큰술| 다진 파 1큰술| 간장 3큰술| 청주 4큰술| 설탕 1큰술| 참기름 1/2큰술
닭똥집튀김,[재료] 닭근위(한팩) 500g| 치킨튀김가루| 고구마 적당량 [닭근위 밑간양념] 소금 약간| 후추(카레가루있으면조금) 약간 [본 양념] 간장 1/2큰술| 고추장 1큰술| 케찹 2큰술| 설탕 2큰술| 꿀 2큰술| 다진 마늘 1/2큰술| 다진 생강 1/2큰술| 다진 양파 1/2큰술
닭매운탕,[재료] 닭(중간것) 1마리(750g)| 감자 중간것 4개| 당근 1/3개| 양파 큰 것 1/2개| 물이나 육수 6컵| 대파 1대| 깻잎 20장| 들깨가루 3스푼 [양념] 고추장 3숟가락| 고춧가루 2숟가락| 간장 3숟가락| 침치진국 2숟가락| 맛술 2숟가락| 물엿 1숟가락| 흑설탕 1숟가락| 다진 마늘 1숟가락| 생강즙이나 가루 약간| 소금 적당량
닭발튀김,[닭발] 소금 약간| 청주 1큰술| 닭발 300g [튀김반죽] 튀김가루 100g| 물 160g| 추가 튀김가루 약간 [양념소스] 설탕 1큰술| 미림 1큰술| 간장 1큰술| 올리고당 3큰술| 고추장 3큰술
닭볶음탕,[재료] 닭고기 1000g| 파 2대| 감자| 당근| 물 2그릇(국그릇으로)  [양념] 고춧가루 2큰술| 고추장 듬뿍떠서 2큰술| 다진 마늘 1큰술| 요리술 2큰술| 참기름 2큰술| 찹쌀엿 또는 물엿 2큰술| 간장 2큰술| 굴소스 1큰술| 생강가루 조금| 깨소금 적당량 | 후추 적당량
닭봉구이,[재료] 닭봉 500g(또는 닭다리6개) [양념] 해선장 3큰술| 간장 2큰술| 식용유 1큰술| 꿀 2큰술| 요리술(맛술) 1큰술| 통깨 1큰술
닭봉조림,[재료] 닭날개 5개| 닭봉| 생강 [양념] 소금 1큰술| 칠리소스 6큰술
닭불고기,[재료] 닭다리살 600g | 닭가슴살 600g| 깻잎 30장| 양파 1개| 식용유 조금 [닭고기양념] 양파즙 2큰술| 청주 1큰술| 다진 마늘 1큰술| 소금 조금| 후춧가루 조금 [양념장] 간장 5큰술| 청주 2큰술| 꿀 1큰술 | 다진마늘 1큰술 | 생강즙 1큰술| 참기름 1작은술| 깨소금 조금| 소금 조금| 후춧가루 조금
닭안심구이,[재료] 닭안심살(닭다리 또는 가슴살) 500g| 구이용 포도씨유 3큰술| 샐러드야채 적당량 [닭안심 양념] 오렌지쥬스 1컵| 오렌지 마말레이드 1큰술| 꿀 1큰술| 간장 1큰술| 소금 조금| 후추 조금| 큐브형 치킨스톡 1개| 포도씨유 1큰술 [오렌지 드레싱] 오렌지쥬스 2~3큰술| 식초 1큰술| 오일(올리브유혹은 포도씨유) 1큰술| 소금 조금| 꿀이나 올리고당 1/2큰술
닭조림,[재료] 닭(약 800g) 1마리| 감자 큰 것 1개| 당근 1/4개| 양파 1/2개| 대파 1/2대| 대추 7개| 마른고추나 청양고추 2개| 떡볶이 떡(200g) 2줌| 물 5컵| 참기름 1큰술| 통깨 1큰술 [닭고기밑간재료] 청주 2큰술| 소금 약간| 후춧가루 약간 [양념재료] 간장 7큰술| 굴 소스 1큰술| 맛술 3큰술| 청주 2큰술| 흑설탕 2큰술| 다진 마늘 1큰술| 생강즙이나 가루 0.3큰술| 후춧가루 약간
닭죽,[재료] 닭(중간크기) 1마리| 닭육수 13컵| 통마늘 6개| 통후추 8알| 저민 생강 3톨| 잣 1큰술| 대추 6톨| 불린쌀 1컵| 불린 검은쌀 1컵| 송송 썬 실파 2큰술 [양념] 깨소금 조금| 소금 조금| 흰후추가루 조금| 참기름 조금 [양념장] 간장 6큰술| 깨소금 조금| 참기름 조금
닭칼국수,[재료] 닭 1마리| 대파| 통후추| 통마늘| 대추| 감자| 당근| 양파| 칼국수면
닭튀김,[재료] 닭날개| 닭다리 [닭고기 밑간] 매실| 마늘 듬뿍| 로즈마리| 바질 [튀김옷] 밀가루| 전분가루| 케이준 스파이스가루
닭한마리칼국수,[재료] 닭 1마리| 인삼 2뿌리| 대추 5알| 한약재료 1팩| 칼국수면 3인분| 물| 애호박 1토막| 당근 30g [양념] 소금| 깨소금| 국간장| 소금
당근김밥,[재료] 당근 1개| 단무지 3개| 김밥용 김 3장| 달걀 3개| 시금치 원하는만큼| 소금| 참기름| 통마늘 5~6개 [밥] 쌀 2.5컵| 콩나물데친물 [당근 절임용] 식초 1/2컵| 물 3컵
당근머핀,[재료] 박력쌀가루 170g| 베이킹파우다 1/2작은술| 베이킹소다 1작은술| 계피가루 1/2작은술| 당근 150g| 유기농흑설탕 140g| 소금 1/4작은술| 포도씨유 140g| 계란 2개| 장식용초코펜
당근무침,[재료] 당근 1개| 소금 1작은술| 식초 1큰술| 설탕 1큰술
당근컵케이크,[재료] 갈은 당근 90g| 잘게 썬 당근 10g| 설탕 1ts| 노른자 2개| 설탕 20g| 박력분 35g| 베이킹파우더 1/2ts| 아몬드가루 40g| 녹인버터 15g | [머랭]| 흰자 2개| 설탕 40g| [크림치즈 프로스팅]| 크림치즈 80g| 생크림 40~45g| 슈가파우더 1Ts
당근케이크,[재료] 당근 채 160g| 밀가루박력분 160g| 달걀 2개 [양념] 해바라기씨유 or포도씨유 120g| 설탕 120g| 베이킹파우더| 베이킹소다| 계피가루 1작은술| 소금 1/4작은술
대게라면,[재료] 대게 1마리| 라면 사리 2개| 양파 1/2개| 붉은 고추 1개| 달걀 1개| 대파 적당량 [양념] 고춧가루 약간| 새우젓 약간| 마늘 약간
대구매운탕,[재료] 대구 500g| 소금 약간| 곤이 150g| 모시조개 200g| 느타리버섯 100g| 청고추 2개| 홍고추 1개| 대파 1대| 쑥갓 1/2줌 [다시국물] 물 5컵| 다시마 15g| 무 150g| 마른 홍고추 2개 [양념] 국간장 1큰술| 다진마늘 1큰술| 고춧가루 2큰술
대구전,[재료] 대구살(포 뜬것) 400g| 밀가루 3/4컵| 식용유 적당량 계란 2개| 쑥갓잎 약간 [대구살 밑간] 소금| 후추 [본 밑간] 소금 0.3작은술
대구지리,[재료] 대구 500~800g| 소금 약간| 곤이 200g| 느타리버섯 100g| 배추속 3장| 두부 1/4모| 팽이 1팩| 대파 1대| 쑥갓 1/2줌 [양념] 청주 2큰술| 국간장| 소금 [다시국물] 물 7컵| 다시마 20g| 무 200g| 마른홍고추 2개 [지리소스] 다시국물 2큰술| 간장 2큰술| 맛술 2큰술| 식초 2큰술 [야쿠미] 무갈은것| 고추가루| 레몬 1/4개| 실파 약간
대구찜,[재료] 대구(또는 생태) 2토막| 소금| 곤이 100g| 대파| 청고추(청양고추) 약간| 홍고추 약간 [양념] 다진마늘 1작은술| 고춧가루 1/2큰술| 멸치육수 1/2컵| 국간장
대구탕,[재료] 대구 2마리| 무 1/4개| 대파 1뿌리| 홍고추 1개| 미나리 10뿌리| 쪽파 1뿌리 [멸치다시마국물 재료] 다시멸치 10마리| 무 약간| 양파 1/2개| 다시마 3조각 [양념] 고춧가루 2큰술| 고추장 1큰술| 다진마늘 1큰술| 조선간장 1큰술| 소금 적당량
대나무통밥,[재료] 찹쌀 1/2컵| 수수쌀 1/2컵| 대나무통| 대추| 밤| 은행
대추라떼,[재료] 대추 15알| 우유 250ml| 물 400ml| 꿀 3큰술| 계핏가루 약간
대추생강차,[재료] 대추 40알| 생강 50g| 물 3리터 이상 [양념] 꿀 취향껏 적당량
대추차,[재료] 배 1개| 대추 3줌| 물 적당량
대파스콘,[재료] 핫케이크가루 500g| 버터 100g| 달걀 2개| 우유 1/3종이컵 | 대파 1종이컵 
대패김치찌개,[재료] 돼지고기 대패 앞다리살 250g| 김치 1+1/2컵| 물 2컵+1컵+1컵| 맛술 1T| 매실액 1T| 설탕 1T| 다진마늘 1T| 까나리액젓 1T
대패삼겹살라면,[재료] 라면 1봉지| 대패삼겹살 150g| 콩나물 1줌| 대파 20cm| 양파 1/2개 [양념] 고춧가루 1스푼| 간장 1스푼| 액젓 1/2스푼
대하구이,[재료] 대하 20마리| 브로컬리 15그람| 양파 1/4개| 주황 파프리카 2조각| 노랑 파프리카 2조각| 모짜렐라치즈 100그람 [양념] 소금 약간 | 후추 약간| 돈가스소스 1큰술| 케찹 1큰술| 피자소스 1큰술
대하탕,[재료] 대하 10마리| 무 1/5개 | 호박 1/5개 | 느타리버섯 1줌| 미나리| 콩나물| 파 1대 | 청양고추 1개 | 홍고추 1개 | 멸치 5~6개  [양념] 고춧가루 2스푼 | 집간장 1스푼 | 간장 1스푼 | 고추장 1/2스푼 | 된장 1/3스푼 | 다진마늘1/2스푼 | 소금 약간
더덕고추장구이,[재료] 더덕 1줌| 식용유 2큰술 정도| 실파 약간| 통깨 약간 [유장 재료] 참기름 2큰술| 진간장 1큰술| 올리고당 1큰술 [양념] 고추장 1큰술| 진간장 0.5큰술| 참기름 1큰술| 설탕 1큰술| 올리고당 1큰술| 다진 마늘 0.3큰술| 깨소금 0.5큰술
더덕고추장무침,[재료] 더덕 2줌 [양념] 고추장 1큰술| 고춧가루 2큰술| 다진파 2큰술| 다진 마늘 0.5큰술| 설탕 2큰술| 식초 3큰술| 올리고당 2큰술| 소금 1작은술| 깨소금 1큰술| 참기름 1큰술
더덕생채,[재료] 더덕(or도라지) 200g [간장맛생채 ] 수제맛간장 1작은술| 소금 약간| 깨소금| 참기름 약간 [초고추장생채] 수제고추장 1큰술| 식초 약간| 깨소금| 소금| 참기름| 고춧가루 약간| 꿀 약간
데리야끼닭꼬치,[재료] 닭고기 500g| 파슬리가루 약간 [닭고기 밑간] 맛술 3Ts| 소금 약간| 후춧가루 약간 [데리야끼 소스] 간장 180mL| 맛술 180mL| 청주 60mL| 양파 1개| 대파 1대| 생강 1개| 마늘 3쪽| 마른 홍고추 1개| 설탕 80g
데리야끼소스,[재료] 다시마 1줌| 양파 1/2개| 대파 1줄기| [녹말물]| 녹말가루 1큰술| 물 2큰술 [양념] 간장 1컵| 설탕 1/2컵| 청주 1/4컵| 물 1컵| 미림 1/4컵
데빌드에그,[재료] 달걀 6개| 채썬당근| 건크랜베리 [양념] 머스터드소스| 마요네즈
도라야끼,[재료] 핫케익가루 500g| 우유 250g| 계란 2개| 코코아가루 1/2큰술| 맛밤 7개| 식용유 조금| 빙수용팥 1컵
도라지나물,[재료] 도라지 2줌(380g)| 식용유 2큰술| 대파 1/4대 [양념] 굵은소금 1큰술| 다진 마늘 0.5큰술| 참기름 1큰술| 소금 0.3 작은술| 후춧가루 약간 | 깨소금 약간
도라지무침,[재료] 도라지 180g| 오이 1/2개| 잔파 조금 [양념] 고춧가루 2TS| 요리초 3TS| 황설탕 1TS| 통깨 1TS| 참기름 1TS | 마늘 3알(다지기)| 소금 적당량
도라지생강청,[재료] 도라지 800g| 생강 250g| 조청 500g| 꿀 500g
도라지차,[재료] 약도라지 2줌| 대추 10개| 생강 1톨| 배 1/2개| 감초 약간| 물 3리터| 잣 약간
도루묵찌개,[재료] 도루묵 5마리| 무 1토막(100g가량)| 감자 2개| 양파 1/2개| 대파 2줄기| 청양고추 2개| 콩나물 200g| 쑥갓 조금| 굵은 소금 조금| 콩나물국물 4컵 [양념] 고추장 1큰술| 고춧가루 2큰술| 국간장 2큰술| 다진 마늘 1/2큰술| 청주 1큰술
도미탕수,[재료] 도미 210| 후추| 청주 1T| 마늘| 생강가루 약간| 소금 약간| 간장 1T| 매실청 1T| 식초 2T| 설탕 2T| 파프리카| 오이| 양파| 대파| 녹말 100g| 계란흰자 1개| 물 60cc
도토리묵김무침,[재료] 도토리묵 1팩| 김(A4사이즈) 3-4장 [양념] 참기름 2큰술| 간장 1큰술| 소금 적당량| 깨소금 1큰술
돈가스,[재료] 돈가스용 고기 안심이나 등심 1근 600g [고기양념재료] 청주 2T| 다진 마늘 2T| 소금 약간| 후춧가루 약간| 생강가루 적당량 [돈가스소스재료] 하이라이스가루 4T| 케첩 3T| 돈가스 or 스테이크소스 2T| 버터 1/2T| 다진 양파 4T| 캔 옥수수 3T| 물 2컵| 월계수잎 2장| 물엿 1-2T| 후춧가루 약간
돈가스덮밥,[돈가스 재료] 돼지고기 등심 2장| 달걀 1개| 빵가루| 밀가루| 식용유 적당량| 후추| 소금| 다진마늘 조금 [맛국물 양념] 물 4컵| 다시마 작은 것 2장| 가스오부시 1/2컵| 간장 2큰술| 청주 1큰술 [덮밥국물 양념] 맛국물 4컵| 정향 3알| 월계수잎 2장| 설탕 2큰술| 청주 3큰술| 달걀 2개| 가스오부시| 김가루| 검은깨 조금
돈까스,[재료] 돈까스용등심 300g| 신김치 1/4포기| 콩나물 200g| 홍고추 1개| 청고추 1개| 통깨 조금| 튀김가루| 빵가루 적당량| 계란 3개 [양념] 고추장 1TS| 고춧가루 1TS| 진간장 1TS| 청주 1TS| 참기름 1TS| 황설탕 1ts| 깨소슴 1TS| 마늘 4알(다지기)
돈까스샌드위치,[재료] 식빵 4장| 밀가루나튀김가루| 달걀| 빵가루| 양배추 [양념] 마요네즈| 돈까스소스| 케찹| 후추 약간| 소금 약간
돈까스샐러드,[재료] 돈까스 큰 것 1조각 200g| 샐러드 채소 1그릇| 계란 삶은 것 2개| 체다치즈 1장 [양념] 사과 1/2개(60g)| 마요네즈 20g| 연유 1큰술(20g)| 레몬즙 2큰술(10g)| 머스터드소스 0.5큰술(6g)| 소금 1g| 우유 2큰술
돈까스피자,[재료] 돼지고기돈까스용| 밀가루| 달걀| 빵가루| 유기농옥수수콘| 유기농완두콩| 블랙올리브| 피자치즈| 튀김오일 [양념] 케찹
돌솥비빔밥,[재료] 밥 2공기| 약고추장 듬뿍 2큰술| 당근 5센티| 무 5센티| 애호박 5센티 1토막| 콩나물 1움큼| 건표고버섯 3개| 계란 1개 [양념] 소금 약간 | 참기름 적당량| 다진 마늘 약간
동그랑땡,[재료] 다진소고기 200g| 다진돼지고기 300g| 두부 1모| 양파 다진 것 1개| 다진파 1/2컵| 홍당무 1/2개| 계란 2개| 식용유 적당량| 밀가루 적당량| 계란 적당량| 소금 적당량 [양념] 소금 1작은술| 후추 1/2작은술| 마늘 1.5큰술| 다진파 1/2컵| 깨소금 1큰술
동치미냉면,[재료] 동치미| 오이| 배| 계란| 냉면 [양념] 냉면육수
동태매운탕,[재료] 동태 1마리| 고니 80g| 무 작은것 1/2개| 콩나물 1줌| 두부 1/2모| 대파 1뿌리| 청양고추 1개| 홍고추 1개| 물| 백합조개 조금 [양념] 매운 고춧가루 2+1/2큰술| 고추장 1큰술| 다진마늘 1작은술| 생강 조금| 소금 조금| 후춧가루 조금| 청주 1큰술
동태전,[재료] 동태포 300g| 밀가루 3스푼 | 달걀 2개 [양념] 고춧가루 0.3스푼 | 다진대파 1스푼 | 소금 약간 | 후춧가루 약간
동태찌개,[재료] 동태 1마리| 명태알 약간| 굵은소금 약간| 청주 5숟갈| 무 1토막| 애호박 1/4개| 팽이버섯 1봉| 대파 1/2뿌리| 청양고추 1개| 홍고추 1/2개| 두부 1/3모| 국멸치 5개| 건다시마 3장| 북어포나건새우 약간 [양념] 물마루 브로콜리된장 1숟갈| 다진마늘 1숟갈| 고추가루 1숟갈| 국간장이나꽃소금 약간
동파육,[재료] 통삼겹살(한근) 600g| 대파채 2줌| 물 3컵| 양파 1개| 통 마늘 10개| 통후추 0.5큰술| 파뿌리 1개| 월계수잎 4장 [조림장 양념] 진간장 1컵| 굴소스 1큰술| 설탕 6큰술| 맛술 1/2컵| 인스턴트 커피 1큰술
돼지갈비,[재료] 돼지갈비 500g| 멸치다시마육수 2컵 [부재료] 감자(중) 2개| 양파(중) 1/3개| 당근 1/3개| 불린 당면 1줌| 대파 1/2대 [돼지고기 삶는 물 재료] 물 4컵| 월계수 잎 2장| 인스턴트 커피 0.5큰술| 마늘 3쪽 [양념] 양파(중) 1/2개| 사과(중) 1/4개| 고춧가루 3큰술| 간장 5큰술| 청주 3큰술| 다진 마늘 0.5큰술| 설탕 1큰술| 물엿 2큰술| 다진 생강이나 가루 0.3큰술| 소금 적당량| 후춧가루 적당량| 통후추 0.3큰술
돼지갈비김치찌개,[재료] 돼지갈비 600g| 익은김치 적당량| 다시마 1장 [양념] 고추장 1.5T| 고춧가루 2T| 다진마늘 1T| 설탕 0.5T| 대파 1줌| 국간장 1T
돼지갈비김치찜,[재료] 돼지갈비 600g| 신김치(묵은지) 250g| 감자 2개| 풋 고추 3개| 김칫국물 3/4컵| 물 2컵 [양념] 고추장 1큰술| 고춧가루 4큰술| 양조간장 1큰술| 양파 1/4개| 청주 2큰술| 다진파 2큰술| 다진 마늘 2큰술| 후추 약간
돼지갈비찜,[재료] 돼지갈비 500g| 당근 1/2개| 양파 1/2개| 마른표고채 1줌| 물 300ml [양념] 진간장 5TS| 참기름 1ts| 매콤한맛 굴소스 2TS| 청주 2TS| 요리당 1TS| 황설탕 2TS| 후춧가루 조금| 다진 마늘 4알| 생강가루 1/4ts
돼지고기가지덮밥,[재료] 가지 3개| 양파 1개| 대파 약간| 참기름 1큰술| 콘옥수수 통조림 1/2캔 [다짐육 양념] 전분가루(녹말가루) 1큰술| 맛술 1큰술| 다진마늘 1큰술| 소금 약간| 후추 약간 [소스만들기] 두반장 2큰술| 굴소스 1큰술| 설탕 1큰술| 소금 약간| 후추 약간
돼지고기가지볶음,[재료] 가지 1개| 오이고추 1개| 홍고추 1개| 마늘 3알| 돼지고기(갈은것) 150g [양념] 굴소스 1TS| 참기름 1ts| 다시마&멸치육수 2TS| 소금| 후춧가루
돼지고기고추장볶음,[재료] 돼지고기 앞다릿살 430g| 양파 2/3개| 대파 1대| 새송이버섯 1개| 팽이버섯 1줌| 포도씨유 약간 [양념] 고추장 2+1/2Ts| 고춧가루 1Ts| 비정제황설탕 1+1/2Ts| 간장 1+1/3Ts| 맛술 1Ts| 생강원액 1ts| 다진마늘 2Ts| 참기름 1Ts| 후춧가루 약간
돼지고기고추장불고기,[재료] 돼지고기앞다리살 500g| 양파 1/2개| 당근 1/2개| 청피망 1개| 실파 조금 [앞다리살 밑간] 청주 2큰술 [양념장] 고추장 4큰술| 간장 1큰술| 두반장소스 1큰술| 굴소스 1큰술| 마늘 4알(다지기)| 양파즙 2큰술| 고춧가루 1큰술| 참기름 1큰술| 황설탕 2큰술
돼지고기고추장찌개,[재료] 돼지고기 100g| 호박 1/4개| 양파 1/2개| 감자 1개| 두부 150g| 청양고추 1개| 느타리버섯 50g정도 [양념] 소금 약간| 고추장 1큰술| 다진마늘 1작은술| 고춧가루 1큰술| 참기름 1작은술| 후추 약간| 멸치다신물 2컵(물 3컵+멸치6마리+다시마 5X5cm 1장)
